Current_Capacity,Rated_Capacity,Current_Voltage,Min_Voltage,Max_Voltage,Charge_Energy,Discharge_Energy,Voltage_Drop,Current,Initial_Voltage,Final_Voltage,Time_Days,SoH,SoC,CE,IR,SDR,BHI
13.41,22.5,183.0,180,240,449.45,107.91,0.06,72.58,234.09,229.71,4,59.6,5.0,24.01,0.0008,0.47,29.59
11.58,22.5,190.7,180,240,494.58,376.46,0.13,14.23,238.79,234.72,13,51.47,17.83,76.12,0.0091,0.13,39.36
16.45,22.5,212.95,180,240,479.64,479.09,0.05,75.43,233.78,233.73,27,73.11,54.92,99.89,0.0007,0.0,60.21
17.32,22.5,187.74,180,240,310.61,171.26,0.04,85.74,230.11,228.54,17,76.98,12.9,55.14,0.0005,0.04,44.4
15.83,22.5,193.94,180,240,313.92,126.51,0.11,24.16,236.71,232.94,10,70.36,23.23,40.3,0.0046,0.16,40.83
14.68,22.5,233.79,180,240,356.56,292.99,0.04,85.07,230.08,229.01,2,65.24,89.65,82.17,0.0005,0.23,60.44
17.81,22.5,204.1,180,240,479.63,390.59,0.06,85.98,234.32,230.17,18,79.16,40.17,81.44,0.0007,0.1,55.98
21.65,22.5,201.25,180,240,364.66,364.52,0.06,61.85,236.96,236.13,22,96.22,35.42,99.96,0.001,0.02,65.56
19.3,22.5,190.27,180,240,141.79,94.68,0.08,52.83,230.45,225.6,26,85.78,17.12,66.77,0.0015,0.08,51.08
12.77,22.5,189.05,180,240,417.07,379.17,0.06,49.42,233.55,233.18,10,56.76,15.08,90.91,0.0012,0.02,43.9
15.53,22.5,232.28,180,240,365.26,177.48,0.14,11.77,237.36,234.92,4,69.02,87.13,48.59,0.0119,0.26,54.72
14.16,22.5,222.93,180,240,388.63,167.16,0.17,38.52,237.25,236.64,1,62.93,71.55,43.01,0.0044,0.26,48.06
13.58,22.5,235.09,180,240,426.07,418.75,0.18,35.19,231.06,230.49,24,60.36,91.82,98.28,0.0051,0.01,62.16
13.05,22.5,180.47,180,240,401.19,114.16,0.03,10.24,234.33,231.81,4,58.0,0.78,28.46,0.0029,0.27,29.02
16.89,22.5,182.6,180,240,239.39,108.56,0.13,51.78,234.95,232.81,7,75.07,4.33,45.35,0.0025,0.13,39.95
16.48,22.5,216.94,180,240,138.02,135.15,0.2,59.09,239.5,238.59,14,73.24,61.57,97.92,0.0034,0.03,61.19
18.1,22.5,197.29,180,240,164.12,125.81,0.11,16.83,236.98,233.86,11,80.44,28.82,76.66,0.0065,0.12,53.26
13.98,22.5,218.54,180,240,210.43,108.36,0.06,54.16,239.66,235.5,22,62.13,64.23,51.49,0.0011,0.08,47.99
12.09,22.5,207.64,180,240,456.33,115.55,0.2,95.42,230.78,226.11,13,53.73,46.07,25.32,0.0021,0.16,35.75
13.81,22.5,193.54,180,240,108.37,97.14,0.14,64.23,230.71,230.35,4,61.38,22.57,89.64,0.0022,0.04,46.99
15.14,22.5,200.88,180,240,287.62,149.37,0.03,23.11,230.33,227.97,8,67.29,34.8,51.93,0.0013,0.13,44.25
12.35,22.5,222.24,180,240,235.18,128.1,0.19,32.36,236.43,235.05,10,54.89,70.4,54.47,0.0059,0.06,46.92
19.09,22.5,215.21,180,240,433.11,105.52,0.14,58.06,233.79,232.08,1,84.84,58.68,24.36,0.0024,0.73,50.47
16.19,22.5,230.6,180,240,295.84,147.21,0.18,24.03,232.06,228.62,22,71.96,84.33,49.76,0.0075,0.07,55.59
15.04,22.5,223.08,180,240,397.13,96.13,0.05,34.68,235.48,234.75,21,66.84,71.8,24.21,0.0014,0.01,45.94
12.98,22.5,205.27,180,240,127.4,104.21,0.1,79.05,236.6,234.36,6,57.69,42.12,81.8,0.0013,0.16,47.84
19.56,22.5,203.81,180,240,205.17,127.0,0.1,40.88,232.42,230.42,9,86.93,39.68,61.9,0.0024,0.1,55.08
17.1,22.5,227.28,180,240,191.14,134.48,0.08,84.5,230.23,229.0,7,76.0,78.8,70.36,0.0009,0.08,60.22
19.54,22.5,221.98,180,240,198.51,187.06,0.03,98.44,238.6,235.16,6,86.84,69.97,94.23,0.0003,0.24,67.55
13.11,22.5,235.29,180,240,269.23,132.75,0.1,92.61,233.87,231.05,19,58.27,92.15,49.31,0.0011,0.06,51.59
17.95,22.5,232.33,180,240,119.03,95.04,0.04,72.58,231.06,227.73,23,79.78,87.22,79.85,0.0006,0.06,65.32
14.35,22.5,228.05,180,240,467.3,313.54,0.16,81.25,231.93,228.59,2,63.78,80.08,67.1,0.002,0.72,54.88
12.74,22.5,202.58,180,240,368.91,306.04,0.11,63.09,232.01,230.57,8,56.62,37.63,82.96,0.0017,0.08,46.76
21.99,22.5,208.72,180,240,379.64,356.2,0.08,91.19,239.17,234.52,6,97.73,47.87,93.83,0.0009,0.32,67.4
17.55,22.5,195.3,180,240,205.02,84.91,0.07,77.01,230.48,229.38,28,78.0,25.5,41.42,0.0009,0.02,44.58
15.67,22.5,214.66,180,240,306.03,234.99,0.13,48.18,234.25,233.54,12,69.64,57.77,76.79,0.0027,0.03,54.76
12.02,22.5,210.44,180,240,231.57,157.04,0.01,38.17,238.2,235.43,26,53.42,50.73,67.82,0.0003,0.04,45.07
16.45,22.5,204.76,180,240,202.58,81.23,0.06,19.85,236.6,235.0,14,73.11,41.27,40.1,0.003,0.05,45.51
16.05,22.5,213.12,180,240,192.38,163.55,0.11,82.81,237.81,236.73,20,71.33,55.2,85.01,0.0013,0.02,56.57
18.81,22.5,234.7,180,240,300.86,293.32,0.19,87.86,235.0,234.29,22,83.6,91.17,97.49,0.0022,0.01,71.17
20.92,22.5,195.47,180,240,190.57,133.15,0.1,29.36,232.72,231.86,11,92.98,25.78,69.87,0.0034,0.03,56.32
20.17,22.5,187.96,180,240,307.46,257.21,0.06,24.66,233.37,230.59,26,89.64,13.27,83.66,0.0024,0.05,55.24
13.34,22.5,187.54,180,240,155.35,136.37,0.1,80.46,237.46,234.43,23,59.29,12.57,87.78,0.0012,0.06,43.78
16.99,22.5,217.32,180,240,258.14,216.85,0.09,51.17,235.18,231.02,10,75.51,62.2,84.0,0.0018,0.18,59.43
15.18,22.5,220.22,180,240,356.97,337.86,0.17,68.27,233.42,229.52,3,67.47,67.03,94.65,0.0025,0.56,59.27
13.74,22.5,196.17,180,240,197.09,196.11,0.05,61.8,239.25,238.51,12,61.07,26.95,99.5,0.0008,0.03,49.71
18.64,22.5,223.94,180,240,242.16,213.05,0.02,77.99,232.67,230.28,17,82.84,73.23,87.98,0.0003,0.06,65.37
15.06,22.5,190.54,180,240,268.55,229.68,0.1,58.38,239.95,237.95,27,66.93,17.57,85.53,0.0017,0.03,47.39
12.45,22.5,234.36,180,240,116.5,95.76,0.02,18.6,236.59,233.35,8,55.33,90.6,82.2,0.0011,0.17,56.67
16.9,22.5,181.2,180,240,201.14,142.68,0.01,33.81,235.14,232.27,1,75.11,2.0,70.94,0.0003,1.22,44.51
21.76,22.5,199.65,180,240,154.33,97.61,0.16,97.43,234.66,233.13,25,96.71,32.75,63.25,0.0016,0.03,57.88
20.13,22.5,224.33,180,240,350.08,346.4,0.11,20.18,238.28,237.01,27,89.47,73.88,98.95,0.0055,0.02,70.35
14.55,22.5,232.67,180,240,405.95,87.22,0.11,34.72,236.49,232.88,21,64.67,87.78,21.49,0.0032,0.07,47.71
18.88,22.5,191.9,180,240,297.59,252.25,0.1,58.3,237.71,234.4,24,83.91,19.83,84.76,0.0017,0.06,54.48
14.05,22.5,223.13,180,240,341.45,319.6,0.02,23.97,237.89,236.09,16,62.44,71.88,93.6,0.0008,0.05,58.07
20.91,22.5,239.5,180,240,217.62,177.74,0.03,46.61,238.48,236.64,19,92.93,99.17,81.67,0.0006,0.04,73.34
11.33,22.5,182.61,180,240,461.59,281.31,0.15,85.47,239.5,235.15,2,50.36,4.35,60.94,0.0018,0.91,33.11
17.56,22.5,199.92,180,240,161.98,149.6,0.11,93.99,238.06,234.59,9,78.04,33.2,92.36,0.0012,0.16,56.31
18.49,22.5,200.11,180,240,113.8,89.74,0.16,28.47,237.12,234.22,22,82.18,33.52,78.86,0.0056,0.06,55.34
17.99,22.5,185.34,180,240,123.27,96.11,0.15,59.93,234.23,231.4,22,79.96,8.9,77.97,0.0025,0.05,49.35
21.78,22.5,183.29,180,240,369.36,337.9,0.16,26.56,232.96,229.37,14,96.8,5.48,91.48,0.006,0.11,58.1
22.39,22.5,228.1,180,240,399.31,333.55,0.19,61.59,232.2,227.89,29,99.51,80.17,83.53,0.0031,0.06,72.54
11.51,22.5,202.38,180,240,159.52,124.4,0.18,45.23,238.45,238.44,16,51.16,37.3,77.98,0.004,0.0,43.52
17.77,22.5,202.21,180,240,107.34,83.49,0.15,52.44,231.5,230.17,12,78.98,37.02,77.78,0.0029,0.05,54.55
13.64,22.5,181.77,180,240,273.57,133.78,0.18,64.44,236.14,233.48,3,60.62,2.95,48.9,0.0028,0.38,34.58
17.76,22.5,218.83,180,240,374.75,308.84,0.07,61.1,239.82,235.33,28,78.93,64.72,82.41,0.0011,0.07,60.99
14.66,22.5,186.52,180,240,289.12,221.6,0.18,77.43,239.39,239.11,24,65.16,10.87,76.65,0.0023,0.0,43.57
20.67,22.5,184.73,180,240,136.54,104.17,0.04,92.23,234.7,231.85,26,91.87,7.88,76.29,0.0004,0.05,53.58
17.22,22.5,201.22,180,240,418.86,230.06,0.07,75.09,238.02,234.06,19,76.53,35.37,54.93,0.0009,0.09,48.66
17.87,22.5,214.24,180,240,293.71,197.54,0.1,60.89,237.16,236.6,29,79.42,57.07,67.26,0.0016,0.01,56.63
14.67,22.5,200.21,180,240,327.13,285.51,0.19,77.51,238.43,236.07,2,65.2,33.68,87.28,0.0025,0.49,50.22
20.59,22.5,237.04,180,240,353.7,176.86,0.12,38.08,239.1,234.75,16,91.51,95.07,50.0,0.0032,0.11,65.61
13.72,22.5,208.75,180,240,370.16,173.9,0.03,62.51,239.48,237.05,6,60.98,47.92,46.98,0.0005,0.17,43.35
12.65,22.5,231.46,180,240,459.0,438.8,0.09,29.54,233.74,232.07,5,56.22,85.77,95.6,0.003,0.14,58.75
21.54,22.5,225.07,180,240,473.35,204.72,0.19,43.17,230.54,226.72,22,95.73,75.12,43.25,0.0044,0.08,61.96
19.45,22.5,235.67,180,240,233.06,157.02,0.01,10.63,232.4,231.89,10,86.44,92.78,67.37,0.0009,0.02,66.6
13.24,22.5,181.71,180,240,463.72,83.16,0.15,23.69,239.12,234.65,27,58.84,2.85,17.93,0.0063,0.07,27.68
13.53,22.5,196.21,180,240,301.86,296.44,0.13,94.25,239.59,238.54,5,60.13,27.02,98.2,0.0014,0.09,49.09
14.53,22.5,213.76,180,240,139.89,135.22,0.04,30.24,235.58,231.76,27,64.58,56.27,96.66,0.0013,0.06,56.41
12.56,22.5,202.07,180,240,110.18,99.4,0.18,89.64,237.0,234.67,20,55.82,36.78,90.22,0.002,0.05,47.72
17.16,22.5,208.63,180,240,279.05,234.3,0.11,38.5,232.58,232.38,21,76.27,47.72,83.96,0.0029,0.0,56.84
18.1,22.5,222.17,180,240,281.11,128.92,0.18,76.86,239.0,234.91,13,80.44,70.28,45.86,0.0023,0.13,55.39
20.33,22.5,218.14,180,240,221.49,219.08,0.06,28.24,234.42,234.13,1,90.36,63.57,98.91,0.0021,0.12,68.63
21.47,22.5,181.27,180,240,239.21,194.47,0.16,47.45,230.17,227.08,20,95.42,2.12,81.3,0.0034,0.07,54.84
19.77,22.5,193.62,180,240,188.51,97.52,0.08,86.23,238.28,236.36,10,87.87,22.7,51.73,0.0009,0.08,50.03
14.24,22.5,198.16,180,240,207.51,147.87,0.13,53.99,234.08,233.02,20,63.29,30.27,71.26,0.0024,0.02,45.62
13.75,22.5,195.67,180,240,304.76,151.84,0.04,33.66,230.36,226.83,27,61.11,26.12,49.82,0.0012,0.06,39.63
18.28,22.5,195.15,180,240,367.58,294.82,0.18,96.23,230.11,225.16,16,81.24,25.25,80.21,0.0019,0.13,53.57
21.27,22.5,223.11,180,240,129.19,120.39,0.1,86.21,236.01,232.6,7,94.53,71.85,93.19,0.0012,0.21,70.8
13.51,22.5,186.45,180,240,276.05,104.17,0.1,66.27,238.27,234.87,24,60.04,10.75,37.74,0.0015,0.06,33.71
14.71,22.5,197.28,180,240,466.01,414.97,0.08,16.4,238.94,234.5,24,65.38,28.8,89.05,0.0049,0.08,49.71
20.9,22.5,203.48,180,240,455.48,170.2,0.06,14.78,237.96,235.87,28,92.89,39.13,37.37,0.0041,0.03,52.45
15.37,22.5,206.05,180,240,152.45,112.99,0.16,84.53,234.12,231.52,24,68.31,43.42,74.12,0.0019,0.05,50.83
12.66,22.5,205.11,180,240,237.82,158.62,0.1,56.7,231.4,228.83,6,56.27,41.85,66.7,0.0018,0.19,44.2
16.02,22.5,231.62,180,240,316.86,243.35,0.1,49.57,234.46,232.4,10,71.2,86.03,76.8,0.002,0.09,61.04
15.61,22.5,202.56,180,240,356.02,216.57,0.17,88.72,231.71,231.02,18,69.38,37.6,60.83,0.0019,0.02,47.44
11.49,22.5,211.2,180,240,371.99,105.04,0.1,76.93,239.86,236.52,23,51.07,52.0,28.24,0.0013,0.06,36.47
13.88,22.5,211.28,180,240,168.84,107.13,0.07,24.37,232.05,228.11,7,61.69,52.13,63.45,0.0029,0.24,47.77
19.44,22.5,208.69,180,240,302.09,269.04,0.14,90.75,238.91,234.03,29,86.4,47.82,89.06,0.0015,0.07,61.93
18.25,22.5,198.9,180,240,316.75,101.6,0.14,75.26,239.65,238.34,22,81.11,31.5,32.08,0.0019,0.02,45.16
18.35,22.5,208.38,180,240,368.85,255.4,0.09,44.17,233.83,230.88,15,81.56,47.3,69.24,0.002,0.08,55.92
16.58,22.5,227.97,180,240,332.25,275.01,0.07,84.83,232.75,230.01,29,73.69,79.95,82.77,0.0008,0.04,62.02
16.94,22.5,200.18,180,240,390.47,238.32,0.03,77.51,230.99,226.79,2,75.29,33.63,61.03,0.0004,0.91,48.96
19.11,22.5,195.17,180,240,116.2,94.58,0.19,11.06,235.88,233.37,11,84.93,25.28,81.39,0.0172,0.1,55.29
13.65,22.5,196.26,180,240,221.7,152.9,0.15,93.36,230.88,226.11,5,60.67,27.1,68.97,0.0016,0.41,43.44
15.73,22.5,198.61,180,240,280.53,157.04,0.09,98.13,230.89,226.28,26,69.91,31.02,55.98,0.0009,0.08,45.36
17.82,22.5,182.91,180,240,341.49,289.3,0.12,99.73,234.56,230.81,25,79.2,4.85,84.72,0.0012,0.06,49.59
12.48,22.5,186.49,180,240,271.15,98.86,0.13,22.93,235.22,235.17,13,55.47,10.82,36.46,0.0057,0.0,31.64
17.74,22.5,201.24,180,240,428.36,352.6,0.11,23.89,232.51,228.81,11,78.84,35.4,82.31,0.0046,0.14,55.06
20.48,22.5,187.68,180,240,499.17,188.39,0.15,91.72,232.36,227.82,26,91.02,12.8,37.74,0.0016,0.08,46.51
15.95,22.5,197.85,180,240,465.08,154.24,0.08,94.63,234.27,231.49,21,70.89,29.75,33.16,0.0008,0.06,40.93
19.19,22.5,191.45,180,240,321.14,141.07,0.19,12.58,232.0,230.78,26,85.29,19.08,43.93,0.0151,0.02,46.71
20.39,22.5,198.04,180,240,320.3,149.71,0.13,41.84,233.34,233.14,12,90.62,30.07,46.74,0.0031,0.01,51.61
20.1,22.5,195.0,180,240,266.82,145.47,0.17,21.39,235.66,234.94,26,89.33,25.0,54.52,0.0079,0.01,51.63
20.58,22.5,238.5,180,240,449.39,163.91,0.01,54.29,235.31,234.3,20,91.47,97.5,36.47,0.0002,0.02,63.38
12.45,22.5,229.27,180,240,274.2,94.05,0.16,43.93,231.0,227.83,24,55.33,82.12,34.3,0.0036,0.06,45.41
11.9,22.5,226.65,180,240,253.23,137.23,0.1,41.16,233.38,229.34,21,52.89,77.75,54.19,0.0024,0.08,47.54
15.36,22.5,234.27,180,240,301.29,182.85,0.2,54.42,231.78,229.21,26,68.27,90.45,60.69,0.0037,0.04,57.53
20.2,22.5,182.98,180,240,442.04,318.28,0.09,41.18,230.19,226.06,21,89.78,4.97,72.0,0.0022,0.09,51.3
22.23,22.5,232.1,180,240,457.29,414.42,0.11,68.18,235.45,235.18,10,98.8,86.83,90.63,0.0016,0.01,75.01
15.0,22.5,204.0,180,240,269.33,198.55,0.06,97.23,236.09,234.09,17,66.67,40.0,73.72,0.0006,0.05,49.41
22.2,22.5,189.19,180,240,207.71,155.42,0.13,23.86,237.94,234.01,13,98.67,15.32,74.83,0.0054,0.13,57.48
12.06,22.5,197.72,180,240,177.42,133.96,0.08,24.15,236.43,233.74,7,53.6,29.53,75.5,0.0033,0.16,42.43
16.29,22.5,216.06,180,240,230.95,197.88,0.17,39.12,238.39,237.86,5,72.4,60.1,85.68,0.0043,0.04,58.11
14.59,22.5,233.37,180,240,499.75,361.38,0.2,69.4,237.33,235.38,26,64.84,88.95,72.31,0.0029,0.03,58.18
16.38,22.5,200.67,180,240,377.5,305.97,0.17,97.56,232.67,229.09,27,72.8,34.45,81.05,0.0017,0.06,52.21
18.15,22.5,236.7,180,240,119.31,80.04,0.12,35.57,238.81,237.17,10,80.67,94.5,67.09,0.0034,0.07,64.58
16.42,22.5,195.11,180,240,248.13,83.4,0.11,55.46,235.25,230.38,7,72.98,25.18,33.61,0.002,0.3,40.92
17.1,22.5,221.76,180,240,476.86,151.09,0.03,14.69,234.36,231.24,14,76.0,69.6,31.68,0.002,0.1,50.65
20.32,22.5,187.93,180,240,385.57,213.06,0.07,14.5,234.87,233.09,19,90.31,13.22,55.26,0.0048,0.04,49.82
19.66,22.5,195.14,180,240,265.88,95.31,0.13,19.34,238.36,234.29,13,87.38,25.23,35.85,0.0067,0.13,47.15
14.87,22.5,194.79,180,240,103.6,85.56,0.04,65.09,231.67,229.02,13,66.09,24.65,82.59,0.0006,0.09,47.87
16.45,22.5,216.08,180,240,415.89,152.29,0.02,57.86,230.62,226.78,21,73.11,60.13,36.62,0.0003,0.08,48.59
16.35,22.5,210.77,180,240,385.21,163.48,0.03,60.05,233.27,231.05,7,72.67,51.28,42.44,0.0005,0.14,47.8
14.96,22.5,199.34,180,240,323.12,289.4,0.05,94.71,235.99,231.03,4,66.49,32.23,89.56,0.0005,0.53,50.9
16.11,22.5,204.77,180,240,405.7,269.74,0.02,90.29,230.31,226.57,6,71.6,41.28,66.49,0.0002,0.27,50.17
20.85,22.5,203.89,180,240,220.95,192.15,0.07,10.29,239.6,236.64,28,92.67,39.82,86.97,0.0068,0.04,62.42
12.43,22.5,216.75,180,240,395.18,321.83,0.18,46.85,239.53,235.2,22,55.24,61.25,81.44,0.0038,0.08,50.63
13.63,22.5,202.92,180,240,317.44,191.12,0.03,68.46,230.73,228.83,14,60.58,38.2,60.21,0.0004,0.06,43.91
20.91,22.5,198.59,180,240,488.52,128.15,0.19,18.19,232.31,232.07,9,92.93,30.98,26.23,0.0104,0.01,48.61
17.15,22.5,212.64,180,240,256.74,134.8,0.06,40.91,234.6,233.63,4,76.22,54.4,52.5,0.0015,0.1,51.86
21.44,22.5,234.06,180,240,490.59,450.29,0.03,84.14,234.1,229.15,9,95.29,90.1,91.79,0.0004,0.23,74.47
11.36,22.5,220.67,180,240,290.86,113.96,0.07,30.25,238.78,236.37,4,50.49,67.78,39.18,0.0023,0.25,41.56
18.29,22.5,204.55,180,240,201.61,184.55,0.14,59.3,236.1,235.64,4,81.29,40.92,91.54,0.0024,0.05,59.0
17.59,22.5,192.64,180,240,479.54,214.06,0.07,93.1,234.17,229.36,22,78.18,21.07,44.64,0.0008,0.09,44.4
19.67,22.5,232.13,180,240,314.62,256.41,0.04,41.34,233.9,231.34,24,87.42,86.88,81.5,0.001,0.05,68.64
13.64,22.5,234.67,180,240,473.25,275.67,0.01,19.88,235.73,235.6,7,60.62,91.12,58.25,0.0005,0.01,54.12
18.6,22.5,230.29,180,240,310.08,127.93,0.11,59.96,237.42,236.31,5,82.67,83.82,41.26,0.0018,0.09,58.07
18.93,22.5,230.85,180,240,377.45,357.25,0.15,78.82,231.68,229.58,1,84.13,84.75,94.65,0.0019,0.91,69.44
16.6,22.5,236.71,180,240,185.78,87.84,0.18,86.29,239.93,236.53,2,73.78,94.52,47.28,0.0021,0.71,57.8
15.33,22.5,199.12,180,240,457.9,267.71,0.12,26.27,235.41,234.03,29,68.13,31.87,58.46,0.0046,0.02,45.32
17.6,22.5,208.23,180,240,119.19,114.57,0.09,63.0,231.39,231.36,24,78.22,47.05,96.12,0.0014,0.0,59.92
12.03,22.5,204.81,180,240,284.71,132.49,0.15,16.62,232.23,228.48,28,53.47,41.35,46.54,0.009,0.06,38.96
21.09,22.5,216.85,180,240,175.28,107.18,0.1,95.89,232.47,228.81,17,93.73,61.42,61.15,0.001,0.09,62.0
12.42,22.5,203.26,180,240,190.44,173.51,0.07,99.27,230.39,229.74,27,55.2,38.77,91.11,0.0007,0.01,48.05
13.42,22.5,232.96,180,240,423.79,412.74,0.1,75.47,233.71,232.78,18,59.64,88.27,97.39,0.0013,0.02,60.99
11.81,22.5,195.82,180,240,126.0,96.97,0.17,39.37,237.28,236.8,18,52.49,26.37,76.96,0.0043,0.01,41.66
17.49,22.5,197.23,180,240,476.07,381.83,0.19,13.38,232.85,231.86,15,77.73,28.72,80.2,0.0142,0.03,52.87
15.36,22.5,236.98,180,240,231.63,94.39,0.2,34.11,238.51,237.67,27,68.27,94.97,40.75,0.0059,0.01,54.45
16.38,22.5,190.62,180,240,353.6,179.63,0.17,78.09,236.11,234.28,19,72.8,17.7,50.8,0.0022,0.04,42.82
16.67,22.5,226.99,180,240,158.04,118.4,0.08,65.02,230.44,226.68,24,74.09,78.32,74.92,0.0012,0.07,60.28
16.33,22.5,214.78,180,240,450.86,401.81,0.1,11.38,234.26,231.23,10,72.58,57.97,89.12,0.0088,0.13,58.44
19.4,22.5,197.09,180,240,400.99,89.82,0.06,54.88,230.45,229.51,21,86.22,28.48,22.4,0.0011,0.02,44.66
15.84,22.5,222.3,180,240,190.75,168.08,0.13,62.88,233.54,231.12,27,70.4,70.5,88.12,0.0021,0.04,59.88
22.5,22.5,209.74,180,240,408.57,80.72,0.18,34.3,236.68,232.65,20,100.0,49.57,19.76,0.0052,0.09,53.86
20.18,22.5,192.15,180,240,483.62,282.78,0.18,73.61,237.22,236.79,14,89.69,20.25,58.47,0.0024,0.01,51.62
13.86,22.5,233.85,180,240,445.12,265.88,0.09,43.92,237.07,233.71,10,61.6,89.75,59.73,0.002,0.14,54.52
15.08,22.5,204.51,180,240,239.48,201.79,0.03,41.61,238.37,238.03,10,67.02,40.85,84.26,0.0007,0.01,51.83
17.95,22.5,219.47,180,240,125.56,87.56,0.07,58.54,237.77,236.16,25,79.78,65.78,69.74,0.0012,0.03,59.01
12.58,22.5,229.99,180,240,382.25,254.5,0.18,73.03,232.02,229.87,2,55.91,83.32,66.58,0.0025,0.46,52.3
12.77,22.5,204.48,180,240,142.7,131.2,0.13,55.65,233.43,232.5,6,56.76,40.8,91.94,0.0023,0.07,49.24
17.15,22.5,193.74,180,240,148.65,104.95,0.06,55.6,239.66,236.78,14,76.22,22.9,70.6,0.0011,0.09,49.18
15.73,22.5,226.32,180,240,115.37,94.21,0.16,57.04,235.5,235.01,16,69.91,77.2,81.66,0.0028,0.01,59.73
17.86,22.5,233.35,180,240,475.13,101.19,0.11,43.75,236.26,232.29,29,79.38,88.92,21.3,0.0025,0.06,53.79
17.51,22.5,222.52,180,240,153.77,140.05,0.13,95.46,233.4,232.85,17,77.82,70.87,91.08,0.0014,0.01,63.52
16.12,22.5,229.01,180,240,178.51,100.2,0.13,86.14,234.72,231.08,17,71.64,81.68,56.13,0.0015,0.09,56.21
22.39,22.5,224.66,180,240,395.83,158.21,0.17,46.46,239.62,239.2,18,99.51,74.43,39.97,0.0037,0.01,62.68
12.16,22.5,203.24,180,240,340.08,213.59,0.14,14.99,232.85,228.75,26,54.04,38.73,62.81,0.0093,0.07,41.92
20.87,22.5,185.51,180,240,433.78,207.64,0.13,23.76,230.66,229.57,19,92.76,9.18,47.87,0.0055,0.02,48.51
22.0,22.5,228.02,180,240,367.19,234.56,0.16,54.53,233.0,232.19,23,97.78,80.03,63.88,0.0029,0.02,67.89
15.91,22.5,230.53,180,240,192.0,80.64,0.13,28.22,238.9,234.6,12,70.71,84.22,42.0,0.0046,0.15,53.51
17.28,22.5,183.61,180,240,132.6,113.82,0.1,97.39,236.79,236.73,16,76.8,6.02,85.84,0.001,0.0,49.09
19.69,22.5,192.89,180,240,433.79,228.69,0.12,88.57,238.64,236.78,8,87.51,21.48,52.72,0.0014,0.1,49.83
17.83,22.5,205.25,180,240,487.7,102.86,0.12,87.25,234.81,234.79,21,79.24,42.08,21.09,0.0014,0.0,44.33
18.69,22.5,198.66,180,240,228.0,130.25,0.14,15.23,239.29,238.17,11,83.07,31.1,57.13,0.0092,0.04,50.87
15.19,22.5,195.63,180,240,318.77,124.69,0.02,95.12,239.26,238.44,10,67.51,26.05,39.12,0.0002,0.03,40.03
17.52,22.5,231.18,180,240,226.02,156.47,0.1,41.85,238.91,238.07,26,77.87,85.3,69.23,0.0024,0.01,62.05
21.52,22.5,185.55,180,240,388.68,123.37,0.08,47.04,231.59,226.98,26,95.64,9.25,31.74,0.0017,0.08,46.45
16.29,22.5,236.25,180,240,394.66,224.09,0.12,72.34,235.92,231.53,29,72.4,93.75,56.78,0.0017,0.06,59.06
15.75,22.5,221.39,180,240,462.44,130.0,0.12,32.84,238.01,237.65,8,70.0,68.98,28.11,0.0037,0.02,47.42
20.8,22.5,208.82,180,240,448.16,212.33,0.19,72.88,232.57,229.75,19,92.44,48.03,47.38,0.0026,0.06,56.05
21.57,22.5,212.79,180,240,302.39,129.45,0.11,22.65,238.7,235.32,18,95.87,54.65,42.81,0.0049,0.08,57.83
15.27,22.5,210.76,180,240,370.3,358.76,0.06,88.75,239.24,235.88,10,67.87,51.27,96.88,0.0007,0.14,56.76
11.6,22.5,233.72,180,240,120.21,106.77,0.02,73.56,230.34,226.13,15,51.56,89.53,88.82,0.0003,0.12,56.28
16.53,22.5,229.87,180,240,106.19,87.15,0.01,47.41,237.28,233.28,28,73.47,83.12,82.07,0.0002,0.06,62.42
14.26,22.5,217.83,180,240,311.96,96.0,0.19,89.85,232.59,231.97,9,63.38,63.05,30.77,0.0021,0.03,44.11
15.39,22.5,222.78,180,240,116.11,93.95,0.09,25.02,230.23,229.55,1,68.4,71.3,80.91,0.0036,0.3,57.77
20.99,22.5,187.93,180,240,338.19,196.02,0.09,32.73,233.72,233.17,7,93.29,13.22,57.96,0.0027,0.03,51.55
12.25,22.5,231.67,180,240,425.24,91.53,0.03,14.42,233.35,230.8,27,54.44,86.12,21.52,0.0021,0.04,43.3
17.46,22.5,201.44,180,240,486.4,471.59,0.09,81.56,230.13,227.39,7,77.6,35.73,96.96,0.0011,0.17,57.56
12.73,22.5,229.15,180,240,498.46,217.9,0.08,65.62,237.18,235.21,8,56.58,81.92,43.71,0.0012,0.1,47.75
19.91,22.5,186.31,180,240,407.58,305.58,0.15,76.1,234.71,233.65,15,88.49,10.52,74.97,0.002,0.03,52.49
14.79,22.5,222.01,180,240,430.51,336.34,0.2,34.53,238.75,234.91,25,65.73,70.02,78.13,0.0058,0.06,55.92
22.15,22.5,199.12,180,240,263.95,196.64,0.01,90.8,235.19,232.85,1,98.44,31.87,74.5,0.0001,0.99,60.55
11.59,22.5,206.02,180,240,327.8,297.22,0.19,57.59,237.54,235.34,4,51.51,43.37,90.67,0.0033,0.23,47.39
22.01,22.5,202.1,180,240,358.5,89.68,0.18,67.74,236.44,231.93,14,97.82,36.83,25.02,0.0027,0.14,51.48
20.83,22.5,226.54,180,240,215.26,123.82,0.14,60.69,231.62,230.06,26,92.58,77.57,57.52,0.0023,0.03,64.05
